feature,coefficient,odds_ratio
Species_E.coli,-0.9709984598402974,0.3787047278089616
Prior_Antibiotic_Use,0.9034842424929641,2.4681879119115444
Ward_Outpatient,-0.6218656086799672,0.5369417793573253
Species_K.pneumoniae,0.5070252995189528,1.6603448130769387
Invasive_Device,0.45923785849838394,1.5828671564143768
Species_P.aeruginosa,0.36930351458337585,1.4467266396777552
Sample_Type_CSF,0.3553364041410895,1.4266605080673973
Ward_ICU,0.3174976738490478,1.3736860494605223
Ward_ER,0.31329032540987634,1.3679186149155975
Sample_Type_Blood,-0.2927185688474812,0.746232124114634
Species_Enterococcus,0.27778893832964224,1.3202075225964272
Sample_Type_Urine,-0.20399554752149407,0.8154660020240558
Species_S.aureus,-0.18382288988842155,0.8320831611185616
Sample_Type_Wound,0.15767457754926895,1.1707851329407641
Temp_C,0.0859499880792594,1.0897518263602997
Ward_Internal_Med,-0.07787651216481678,0.9250786554509897
Ward_Surgery,0.06825052428912375,1.070633494578947
WBC_10e9L,0.044833826111722805,1.0458540518335713
Sample_Type_Sputum,-0.01700046261863005,0.9831432298144304
Hospital_Days,0.01018424755470839,1.0102362835028071
Patient_Age,-0.009672359913615052,0.9903742669079749
CRP_mgL,0.00766453213156673,1.0076939798442004
